ticker,cik,sic,sic_description,status
MRAI,0001844392,8090,"Services-Misc Health & Allied Services, NEC",ok
MRM,0001819704,7200,Services-Personal Services,ok
MRVI,0001823239,2834,Pharmaceutical Preparations,ok
MRX,0001997464,6200,"Security & Commodity Brokers, Dealers, Exchanges & Services",ok
MSP,,,,cik_not_found
MSS,0001892292,5411,Retail-Grocery Stores,ok
MSSA,,,,cik_not_found
MSW,0001956166,1700,Construction - Special Trade Contractors,ok
MTAC,,,,cik_not_found
MTAL,0002107724,6770,Blank Checks,ok
MTC,0001742518,6211,"Security Brokers, Dealers & Flotation Companies",ok
MTCR,,,,cik_not_found
MTEK,0001872964,3669,"Communications Equipment, NEC",ok
MTEN,0001948099,3442,"Metal Doors, Sash, Frames, Moldings & Trim",ok
MTRY,,,,cik_not_found
MTVC,,,,cik_not_found
MUDS,,,,cik_not_found
MURF,,,,cik_not_found
MWG,0001941500,3990,Miscellaneous Manufacturing Industries,ok
MWK,,,,cik_not_found
MXCT,0001287098,8731,Services-Commercial Physical & Biological Research,ok
MYNA,,,,cik_not_found
MYSE,0001648960,4822,Telegraph & Other Message Communications,ok
NAKA,0001946573,6199,Finance Services,ok
NAMI,0001967631,8200,Services-Educational Services,ok
NARI,,,,cik_not_found
NBA,,,,cik_not_found
NBAC,,,,cik_not_found
NBP,0001778016,2834,Pharmaceutical Preparations,ok
NBTX,0001760854,2834,Pharmaceutical Preparations,ok
NCAC,,,,cik_not_found
NCEW,0001968043,4731,Arrangement of  Transportation of  Freight & Cargo,ok
NCI,0001916331,2300,Apparel & Other Finishd Prods of  Fabrics & Similar Matl,ok
NCL,0001923780,3089,"Plastics Products, NEC",ok
NCNO,0001902733,7372,Services-Prepackaged Software,ok
NEBC,,,,cik_not_found
NET,0001477333,7372,Services-Prepackaged Software,ok
NETC,,,,cik_not_found
NETD,,,,cik_not_found
NEUE,,,,cik_not_found
NEXR,0001885408,5900,Retail-Miscellaneous Retail,ok
NFE,0001749723,4924,Natural Gas Distribution,ok
NFIN,,,,cik_not_found
NFNT,,,,cik_not_found
NFYS,,,,cik_not_found
NGA,,,,cik_not_found
NGAC,,,,cik_not_found
NGM,,,,cik_not_found
NGMS,,,,cik_not_found
